n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;14.867675787796824;-5.908082938168931;90.32482618476618;34.00978180778785;1.0;0.0;"{'weights_and_biases': array([-0.41857514, -0.82932127, -0.13515515, ..., -0.77245066,
        0.47719862,  0.11360819]), 'mut_step_size': 1.0, 'fitness': 90.32482618476618, 'individual_gain': 54}"
1;90.48482618476618;90.32482618476618;91.92482618476618;0.4799999999999983;1.0031137862528;0.021084359864948565;"{'weights_and_biases': array([ 0.53311751, -0.82932127, -0.13515515, ..., -1.77359457,
        2.12069935,  0.63141997]), 'mut_step_size': 0.9958986311014834, 'fitness': 91.92482618476618, 'individual_gain': 70}"
2;91.04154789553063;90.32482618476618;92.73740496697303;0.8385600937800369;0.99498011510079;0.025491927492661527;"{'weights_and_biases': array([ 0.5680434 , -0.82932127, -1.92254763, ..., -2.57527927,
        3.13930102,  1.44047601]), 'mut_step_size': 1.0339767152891182, 'fitness': 92.73740496697303, 'individual_gain': 78}"
3;91.63956347548447;90.32482618476618;92.51240366476762;0.9111180197456761;0.9935752140339698;0.04189499697458537;"{'weights_and_biases': array([-1.75215844, -1.6206683 , -0.58832891, ..., -1.05055256,
        1.41053182,  0.63141997]), 'mut_step_size': 0.9583115677024455, 'fitness': 92.51240366476762, 'individual_gain': 76}"
4;90.65190872894179;90.32482618476618;91.79051384715858;0.5458470457471407;1.0368821426732486;0.04306270037879673;"{'weights_and_biases': array([ 0.5680434 , -0.82932127, -1.92254763, ..., -2.57527927,
        3.13930102,  1.44047601]), 'mut_step_size': 1.0339767152891182, 'fitness': 91.79051384715858, 'individual_gain': 70}"
5;91.38545158151794;90.32482618476618;92.73740496697303;0.8862634404314808;1.0318648867016942;0.03337268019893252;"{'weights_and_biases': array([ 0.5680434 , -0.82932127, -1.92254763, ..., -2.57527927,
        3.13930102,  1.44047601]), 'mut_step_size': 1.0339767152891182, 'fitness': 92.73740496697303, 'individual_gain': 78}"
6;90.7859007362704;89.79605369405454;91.59605369405453;0.60282560278105;1.0198329942394313;0.03494401566147756;"{'weights_and_biases': array([-2.25648512, -1.22502787, -2.36268663, ..., -2.76312204,
        1.47717174,  1.13508128]), 'mut_step_size': 1.005410934529829, 'fitness': 91.59605369405453, 'individual_gain': 66}"
7;90.37139495100541;90.32482618476618;90.79051384715858;0.13970629871771933;0.9903445551405937;0.046848769052120265;"{'weights_and_biases': array([-1.21353404, -1.12237419, -2.33390451, ..., -2.63524241,
        2.08925888,  1.54440121]), 'mut_step_size': 0.9899557529149238, 'fitness': 90.79051384715858, 'individual_gain': 60}"
8;90.81630872408252;90.32482618476618;92.5001335721758;0.6471552441535767;0.9989322646870636;0.031122476163487244;"{'weights_and_biases': array([-1.5780321 , -1.11869244, -1.19831108, ..., -1.92694849,
        2.11176716,  2.12937277]), 'mut_step_size': 1.0468092285728945, 'fitness': 92.5001335721758, 'individual_gain': 76}"
9;90.96860809937607;90.32482618476618;92.5001335721758;0.7628325127243887;1.0260552203983777;0.026452040795298067;"{'weights_and_biases': array([-1.5780321 , -1.11869244, -1.19831108, ..., -1.92694849,
        2.11176716,  2.12937277]), 'mut_step_size': 1.0468092285728945, 'fitness': 92.5001335721758, 'individual_gain': 76}"
10;91.02288385196674;90.32482618476618;91.73740496697303;0.6550482324764103;1.036770222600819;0.03004369817937079;"{'weights_and_biases': array([-2.62321923, -1.11869244, -1.19831108, ..., -1.55082862,
        2.11176716,  2.14436927]), 'mut_step_size': 1.047630001308451, 'fitness': 91.73109579777977, 'individual_gain': 68}"
11;92.05309856352723;91.60150296873417;92.56956207860756;0.3871096871094434;1.0170352060767254;0.028003524158368605;"{'weights_and_biases': array([-2.62321923, -2.19984587, -2.41837884, ..., -1.55082862,
        2.11176716,  2.14436927]), 'mut_step_size': 1.0088526427964015, 'fitness': 92.56956207860756, 'individual_gain': 76}"
12;92.11176027112501;91.18506424239102;92.55014399275046;0.39192998431622916;1.0345583771339566;0.0423651044831788;"{'weights_and_biases': array([-2.62321923, -0.37952936, -2.86882986, ..., -0.12740733,
        1.6416991 ,  1.69783283]), 'mut_step_size': 1.033924023424573, 'fitness': 92.50624979919323, 'individual_gain': 76}"
13;92.45265163303371;92.12482618476618;92.77611947915372;0.1657415175547643;1.0334214129820731;0.023880470650195128;"{'weights_and_biases': array([-2.19848715,  0.63501759, -1.49994665, ...,  0.00990998,
        2.30756364,  2.35073491]), 'mut_step_size': 1.0717934016266213, 'fitness': 92.77611947915372, 'individual_gain': 78}"
14;92.04734486642437;91.57964417492167;92.50624979919323;0.35768296640355446;1.045520526514282;0.028332938290101056;"{'weights_and_biases': array([-1.03940469, -2.6946773 , -2.09553933, ..., -1.29147152,
        0.21950296,  2.49348983]), 'mut_step_size': 1.0402037722882487, 'fitness': 92.49405452609942, 'individual_gain': 76}"
15;92.40864155733533;91.58506424239101;92.51240366476762;0.2745801919887575;0.9889935069063377;0.03302949189306538;"{'weights_and_biases': array([-1.03940469, -2.6946773 , -2.09553933, ..., -1.29147152,
        0.21950296,  2.49348983]), 'mut_step_size': 1.0402037722882487, 'fitness': 92.49405452609942, 'individual_gain': 76}"
16;92.37784852451071;92.07274631484279;92.51240366476762;0.17033572277436412;0.9902965382326995;0.0398631870176244;"{'weights_and_biases': array([-1.23155592, -2.6946773 , -2.09553933, ..., -1.29147152,
        0.21950296,  2.45045684]), 'mut_step_size': 0.9715422257703692, 'fitness': 92.48801221164345, 'individual_gain': 76}"
17;91.87317494664293;91.58506424239101;92.5001335721758;0.3427721689943193;0.9591454125716667;0.02479362639740481;"{'weights_and_biases': array([-1.23155592, -1.9760811 , -2.09553933, ..., -0.66681841,
        0.36090178,  2.45045684]), 'mut_step_size': 0.9715422257703692, 'fitness': 92.49405452609942, 'individual_gain': 76}"
18;92.04951706245545;91.20278772623588;92.51240366476762;0.4912468335391002;0.9609902690049186;0.026769860490439015;"{'weights_and_biases': array([-1.23155592, -1.9760811 , -2.09553933, ..., -0.66681841,
        0.36090178,  2.45045684]), 'mut_step_size': 0.9715422257703692, 'fitness': 92.49405452609942, 'individual_gain': 76}"
19;91.16606998725976;90.32482618476618;92.51240366476762;0.8709349271663697;0.9694853506407473;0.016403397879200483;"{'weights_and_biases': array([-2.62321923, -1.34108936, -2.86882986, ..., -0.35663213,
        1.6416991 ,  1.69783283]), 'mut_step_size': 0.9715422257703692, 'fitness': 92.5001335721758, 'individual_gain': 76}"
20;92.00298011462063;91.60956741322126;92.51240366476762;0.34428888443572586;0.9718527882571033;0.013126496589207148;"{'weights_and_biases': array([-1.01708029, -1.08418341, -0.74704793, ...,  0.47252768,
        0.6398097 ,  2.45045684]), 'mut_step_size': 1.0082305263041322, 'fitness': 92.49405452609942, 'individual_gain': 76}"
21;92.31884436635288;91.87274631484279;92.51859563501553;0.2141479189894265;0.9898863760372507;0.01834415026688152;"{'weights_and_biases': array([-1.01708029, -1.08418341, -0.74704793, ...,  0.47252768,
        0.6398097 ,  2.45045684]), 'mut_step_size': 1.0082305263041322, 'fitness': 92.49405452609942, 'individual_gain': 76}"
22;92.53167208389878;92.07274631484279;93.27274631484279;0.3130107059671671;0.9814155350227776;0.017823344192693845;"{'weights_and_biases': array([-1.03254415, -0.93032214, -0.74704793, ...,  0.47252768,
        0.64936677,  2.45045684]), 'mut_step_size': 1.0082305263041322, 'fitness': 93.27274631484279, 'individual_gain': 82}"
23;92.3375473992465;91.60956741322126;93.27274631484279;0.5727656607180607;0.993555206090627;0.017973523167519833;"{'weights_and_biases': array([-1.03254415, -0.93032214, -0.74704793, ...,  0.47252768,
        0.64936677,  2.45045684]), 'mut_step_size': 1.0082305263041322, 'fitness': 93.27274631484279, 'individual_gain': 82}"
24;92.43742264740118;92.16355803717006;92.51859563501553;0.12271468424319965;0.9788932288475471;0.01673245303894881;"{'weights_and_biases': array([ 0.6077138 , -0.82857228, -1.18327905, ...,  0.46857269,
        0.07564936,  2.45045684]), 'mut_step_size': 0.9536082376423534, 'fitness': 92.49405452609942, 'individual_gain': 76}"
